Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8444030ec72d0c27ee9f88fe0253348a9614b37089cafb6f6ad23d3b3edfce84,2013-07,South Wales Police,South Wales Police,-3.188402,51.473801,On or near SUSSEX STREET,W01001766,Cardiff 044C,Investigation complete; no suspect identified
afc01ecd02def0c7ea4b424b07dc0598c27c972e12a9901493b6c60ceacf1458,2013-07,South Wales Police,South Wales Police,-3.490979,51.648017,On or near Police Station,W01001214,Rhondda Cynon Taf 011B,Investigation complete; no suspect identified
f2c79bf9f46d2107912b27cdb6251f0dad870b352b96368c280bf37e4f63f194,2013-07,South Wales Police,South Wales Police,-3.169188,51.484811,On or near WEST GROVE,W01001835,Cardiff 033F,Investigation complete; no suspect identified
6dce19d8b1455319b4bf5ebe3b601da2c043e83fed75fc0b65be8891d2625afc,2013-07,South Wales Police,South Wales Police,-3.129319,51.533003,On or near LIDDEL CLOSE,W01001843,Cardiff 003C,Investigation complete; no suspect identified
902a29047861fa3b75f74a2bbb9bf4c848d2a8f19fea4c3afce46e644ebe167c,2013-07,South Wales Police,South Wales Police,-3.432726,51.511219,On or near HAZELDENE,W01001192,Rhondda Cynon Taf 031B,Investigation complete; no suspect identified
de313100a8a1266f2f721c73d8b075b43c271a40e5e6207220b1cd943c8bc5d2,2013-07,South Wales Police,South Wales Police,-3.484788,51.673543,On or near WILSON PLACE,W01001202,Rhondda Cynon Taf 009C,Investigation complete; no suspect identified
90f83dd79ebb33d7ddccae8338b76accb7ab8d6127788378ed31b8d9271e9ab4,2013-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
39bb6a5d091eda21428198524572a729b973211f464c54095c35cc33e0f7a0e2,2013-07,South Wales Police,South Wales Police,-3.294941,51.531354,On or near BERTHLWYD,W01001819,Cardiff 014D,Investigation complete; no suspect identified
09bb93bbad4e4fd3bc7ff65d3d270c004461de8cd13448835d60c2dc94686a19,2013-07,South Wales Police,South Wales Police,-3.175145,51.465554,On or near Petrol Station,W01001760,Cardiff 046B,Investigation complete; no suspect identified
10895d173bb40a9dd343db00610fc7a96a5d7e08f3b824e3ae3f805a0d23f0a8,2013-07,South Wales Police,South Wales Police,-3.143934,51.528842,On or near Parking Area,W01001816,Cardiff 009B,Investigation complete; no suspect identified
828dd948c97f1c2d93711dbafd36f4ba0a47633ac62866c9cd6689c728fd2664,2013-07,South Wales Police,South Wales Police,-3.925835,51.669322,On or near PENTREPOETH ROAD,W01000809,Swansea 008A,Investigation complete; no suspect identified
80cb3f8049ca2d7d3139e07e0d37a85866bda423631a525d386ae7ec74ee87a0,2013-07,South Wales Police,South Wales Police,-3.669702,51.610928,On or near Hospital,W01001017,Bridgend 002C,Investigation complete; no suspect identified
1cd2bcd9eb5a2ab9eceeeca7d983ca0c45eb8d201706410afc530a97897f5482,2013-07,South Wales Police,South Wales Police,-3.384217,51.537267,On or near TALBOT ROAD,W01001243,Rhondda Cynon Taf 030E,Investigation complete; no suspect identified
ad0ed3f938f94d4476e054c5337c6356ebfee8b967c42f8063239f591a94fe64,2013-07,South Wales Police,South Wales Police,-3.189360,51.506755,On or near Hospital,W01001770,Cardiff 018B,Investigation complete; no suspect identified
cf668a4c5a1e516e9edd237ae1ab9278a6323236e56cefd621ba764212cff429,2013-07,South Wales Police,South Wales Police,-3.177530,51.443005,On or near ROYAL CLOSE,W01001126,The Vale of Glamorgan 005E,Investigation complete; no suspect identified
7ffc2e34b461c3f66903809685a03c9c11e75e8aa1f904c6693876cc1af45ea8,2013-07,South Wales Police,South Wales Police,-3.237280,51.512967,On or near MELINGRIFFITH DRIVE,W01001888,Cardiff 010A,Investigation complete; no suspect identified
f73e5bb43fc3bee838e5f547a2e8715672b1f53e0af7fd698017db7a04aaf242,2013-07,South Wales Police,South Wales Police,-3.412651,51.752490,On or near OLD WINCH FAWR ROAD,W01001292,Merthyr Tydfil 004A,Investigation complete; no suspect identified
