Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6c81c7abd7d8d27c61d655e1a65f3908818c6bfd91f43718ba1b8dbc18d22859,2013-03,South Wales Police,South Wales Police,-3.382252,51.684011,On or near FOUNTAIN STREET,W01001208,Rhondda Cynon Taf 006E,Investigation complete; no suspect identified
87fe7e9916ae603386f0902924b0fd5962982e1c681157f51f2ccac86ac6ccd6,2013-03,South Wales Police,South Wales Police,-3.368791,51.669845,On or near ASH GROVE,W01001209,Rhondda Cynon Taf 008A,Investigation complete; no suspect identified
7969904f5d1acc09c69a56440030cc0c07b73be07ad25cb6446eb0799d9da160,2013-03,South Wales Police,South Wales Police,-3.367784,51.671916,On or near WOODFIELD TERRACE,W01001209,Rhondda Cynon Taf 008A,Suspect charged
061c31a90870be273bc85e20608d1a8e7b3e87a9ad3b0de43dc1742691c42690,2013-03,South Wales Police,South Wales Police,-3.367784,51.671916,On or near WOODFIELD TERRACE,W01001209,Rhondda Cynon Taf 008A,Suspect charged
97d606e87984f30ee5d54dcc4251806bbe44e06c08ca88d0b7e3dba22d662a7b,2013-03,South Wales Police,South Wales Police,-3.366440,51.671958,On or near PENRHIWCEIBER ROAD,W01001209,Rhondda Cynon Taf 008A,Investigation complete; no suspect identified
8e2f7b83e5a14687a5930e826970a7482030a39a5b81f9460f6d7f31ce4cf002,2013-03,South Wales Police,South Wales Police,-3.357136,51.662094,On or near PENTWYN AVENUE,W01001210,Rhondda Cynon Taf 008B,Investigation complete; no suspect identified
f2d10c4905975eb3a18222dbce8e5f93b6659560123af2afb922312ef76bda32,2013-03,South Wales Police,South Wales Police,-3.361627,51.669631,On or near Supermarket,W01001210,Rhondda Cynon Taf 008B,Investigation complete; no suspect identified
9c5d515b91a9caf7aafcc8b77eb62d2ac282804ed0223ad11ff4bf9bcff57c53,2013-03,South Wales Police,South Wales Police,-3.364289,51.670149,On or near DILWYN STREET,W01001210,Rhondda Cynon Taf 008B,Offender given a caution
5a1b8d91fc5f1dee5fbd056177ca64a9d3d8c4f549a6b4da54a826b2c5a63c56,2013-03,South Wales Police,South Wales Police,-3.361627,51.669631,On or near Supermarket,W01001210,Rhondda Cynon Taf 008B,Suspect charged
0f52ec6e1e885dff0e1ad30c898aef6bab03159bc7447f1bad379ce87ca7065d,2013-03,South Wales Police,South Wales Police,-3.364289,51.670149,On or near DILWYN STREET,W01001210,Rhondda Cynon Taf 008B,Investigation complete; no suspect identified
