Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ea48cfc459a1f375bd8396bfd0478a0d9dd4f51f0f7c8e28631445d5e99ba438,2013-02,South Wales Police,South Wales Police,-3.186306,51.458518,On or near Shopping Area,W01001947,Cardiff 048E,Investigation complete; no suspect identified
41a357bccc41ed347f57747807f2c12efbfb829b293d90880cd4f1b19f44fdc0,2013-02,South Wales Police,South Wales Police,-3.173712,51.473121,On or near CANAL PARADE,W01001952,Cardiff 049F,Investigation complete; no suspect identified
563be9a2cb9b290f56f3691a486e581dd0e30900d25c056593de282a515f89ba,2013-02,South Wales Police,South Wales Police,-3.944942,51.638343,On or near Parking Area,W01000763,Swansea 015A,Investigation complete; no suspect identified
a95bf15c7f8cc2bb13ed779eba765b4b0b1f032fa5fdd0efd695d89bd45b3774,2013-02,South Wales Police,South Wales Police,-3.949329,51.646939,On or near HOLLETT ROAD,W01000821,Swansea 009E,Investigation complete; no suspect identified
6176c8f04600a51c4cf07eb43f5978d278457f554f7fd24724097675d5ff3a5a,2013-02,South Wales Police,South Wales Police,-3.813039,51.672332,On or near HEOL CATWG,W01000907,Neath Port Talbot 007B,Investigation complete; no suspect identified
b81db834f478cff1fedcb4b2df384973f9f8e2c13eabd3a28026833d120656c6,2013-02,South Wales Police,South Wales Police,-3.816503,51.649744,On or near GROVE LANE,W01000937,Neath Port Talbot 013E,Investigation complete; no suspect identified
c61865d6ad43b680019ebe08680095522f5e0bcfb7a1c66aab5c7e567c261d15,2013-02,South Wales Police,South Wales Police,-3.592308,51.509862,On or near GLAN NANT ROAD,W01001026,Bridgend 012D,Investigation complete; no suspect identified
ec5ce3217f8954973d1f96dc1aba83cd5d8ea1ccb44d8c1491a448ba6ba44b07,2013-02,South Wales Police,South Wales Police,-3.357485,51.583780,On or near Park/Open Space,W01001182,Rhondda Cynon Taf 021A,Investigation complete; no suspect identified
a90c99525673678863873440e702267a584b6494fb72ed9be7c1f95a2bc444ed,2013-02,South Wales Police,South Wales Police,-3.335198,51.554174,On or near MURRELLS CLOSE,W01001198,Rhondda Cynon Taf 027D,Investigation complete; no suspect identified
48c25ccda63167c7fae6551638337536a0d1b5c7e6b8dd7015cf3e41a3b114d0,2013-02,South Wales Police,South Wales Police,-3.252306,51.495472,On or near BEECHLEY DRIVE,W01001751,Cardiff 027D,Investigation complete; no suspect identified
7bbdad3531914ba4d41ba6d18eab78bddd424b3bbe38cc98f07979c82094b1fe,2013-02,South Wales Police,South Wales Police,-3.172929,51.493091,On or near CRWYS ROAD,W01001837,Cardiff 030C,Investigation complete; no suspect identified
8b877217a3c992fa7143c1f8669153c6220df8fe39db99d7a6dc83afe8044070,2013-02,South Wales Police,South Wales Police,-3.138906,51.486206,On or near MEIRION PLACE,W01001871,Cardiff 037B,Investigation complete; no suspect identified
