Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e6ac0dac7b9a7d2a067402df54db50fb167934dc9016038e7e904b51d7a1de9f,2013-10,South Wales Police,South Wales Police,-3.585150,51.566403,On or near HEOL Y FELIN,W01000975,Bridgend 004A,Investigation complete; no suspect identified
85eaa0ed9b991eb5c347223c641ec4f44f2a4d69b63aa4433600836e55b7736b,2013-10,South Wales Police,South Wales Police,-3.270220,51.406572,On or near SPENCER STREET,W01001063,The Vale of Glamorgan 012A,Investigation complete; no suspect identified
0510e44a2824905c833bc7a486522039c7bf87df7c13c6164b17489248ead947,2013-10,South Wales Police,South Wales Police,-4.032986,51.715562,On or near LLWYNCELYN AVENUE,W01000847,Swansea 001C,Investigation complete; no suspect identified
34a4ec8f6dca5da4e27e56212000979658365d0272274c438ff1c7966132ad7f,2013-10,South Wales Police,South Wales Police,-3.204222,51.482937,On or near MARKET ROAD,W01001712,Cardiff 040D,Investigation complete; no suspect identified
4d8875d9ea74d56059df228913fb73f3a8915edd3d36b2ca01c6392ee2a1ee97,2013-10,South Wales Police,South Wales Police,-3.427885,51.695793,On or near NEW STREET,W01001139,Rhondda Cynon Taf 005C,Investigation complete; no suspect identified
81618001cefbedec1c7938e453410b7c666ab7476f7498f4d35c1d39f1f33338,2013-10,South Wales Police,South Wales Police,-3.339285,51.605381,On or near Police Station,W01001228,Rhondda Cynon Taf 021D,Investigation complete; no suspect identified
75152886a8f88b3a658ce93fea22b2cfb51a4b6463b15d075835e00e9d250186,2013-10,South Wales Police,South Wales Police,-3.247147,51.508052,On or near Sports/Recreation Area,W01001948,Cardiff 006E,Investigation complete; no suspect identified
9a631863f14d10b21d726ea0123e728ec207716dc8dd5b68c4858c4c12b333ca,2013-10,South Wales Police,South Wales Police,-3.217396,51.490912,On or near DEANS CLOSE,W01001781,Cardiff 026C,Investigation complete; no suspect identified
b91fe0dd925c21926904a29e6b0f63361a5b29fc53806d96cf938896b0cae0e8,2013-10,South Wales Police,South Wales Police,-3.189360,51.506755,On or near Hospital,W01001770,Cardiff 018B,Investigation complete; no suspect identified
fe768ac086651b9f29a0ccb12be9ac6fd467bc8c50ed7425cd7afb8edc306551,2013-10,South Wales Police,South Wales Police,-3.210559,51.498733,On or near LLANMORLAIS ROAD,W01001788,Cardiff 023D,Investigation complete; no suspect identified
2fe1880b758d81d0928cb3c21d3f86afcf626d36b110fb433cc510e9f6119a81,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
7df1f742fb9958cf7e3b0044837cef88c1b68f8cf02a4c7b0f03fbf1c46f8cc6,2013-10,South Wales Police,South Wales Police,-3.659799,51.627686,On or near MYNYDD GLAS,W01000994,Bridgend 001D,Investigation complete; no suspect identified
f52c34e725dbffa91e5d3f2bd44b537f0e9d182a81fcfea18ff688a92697f900,2013-10,South Wales Police,South Wales Police,-4.027302,51.621779,On or near Y BERLLAN,W01000770,Swansea 020C,Investigation complete; no suspect identified
837c9238c1f99adc27c3376c8649a97a9314b5d36b7430109936d2e1c1b9d290,2013-10,South Wales Police,South Wales Police,-3.346347,51.602495,On or near A4058,W01001236,Rhondda Cynon Taf 021G,Investigation complete; no suspect identified
ff13f2d57081443c41484eb5cc79f5544256782b953f3785081ea4a89756bdb2,2013-10,South Wales Police,South Wales Police,-3.173308,51.480948,On or near Nightclub,W01001939,Cardiff 032F,Investigation complete; no suspect identified
659f53949293487b520f803dada654f4a3894853d9bfedd263df60f51350b187,2013-10,South Wales Police,South Wales Police,-3.942602,51.626188,On or near TONTINE STREET,W01000744,Swansea 016B,Investigation complete; no suspect identified
4a851da9fb7afc9b9954a12bd4460ab8dde783b850e10a89124649e5320e0ece,2013-10,South Wales Police,South Wales Police,-3.638129,51.602075,On or near GARTH AVENUE,W01001016,Bridgend 005C,Investigation complete; no suspect identified
ec83a6d40811e3fb27a8ef06635f19e793c95add81d2dcba6f1bc33428c47af1,2013-10,South Wales Police,South Wales Police,-3.190942,51.477363,On or near BRUNEL STREET,W01001856,Cardiff 042B,Investigation complete; no suspect identified
21263419f4612cbafb38886678f14f693f6fcc556d67bf104706f94264502982,2013-10,South Wales Police,South Wales Police,-3.241433,51.525243,On or near LONGWOOD DRIVE,W01001895,Cardiff 010D,Investigation complete; no suspect identified
96cca9efa3689144b9892a4232e373ad243ca0ff217f7df7b574f93399c4d6a7,2013-10,South Wales Police,South Wales Police,-3.868842,51.659128,On or near BIRCHGROVE ROAD,W01000916,Neath Port Talbot 010E,Investigation complete; no suspect identified
651d0f95068f4641d27a1add33eb6e8c528c238d15d2549d0f082994c3c843b1,2013-10,South Wales Police,South Wales Police,-3.454588,51.407135,On or near MAGPIE ROAD,W01001108,The Vale of Glamorgan 014A,Investigation complete; no suspect identified
be9d68195d0b9a1808c401b1b8ba8615737e1e374a4ba63abd35e4726baf3562,2013-10,South Wales Police,South Wales Police,-3.265297,51.452692,On or near NANT ISAF,W01001136,The Vale of Glamorgan 003D,Investigation complete; no suspect identified
09388b52de6a674aad41c9713edec56e7abf41f535d04c36c00f05bb5760db5d,2013-10,South Wales Police,South Wales Police,-3.200906,51.487737,On or near IESTYNIAN AVENUE,W01001860,Cardiff 034C,Investigation complete; no suspect identified
4cb8cd8423eb733bfe1029dbea89cfbda905ceed5d9916c0a91655ac4c4d4604,2013-10,South Wales Police,South Wales Police,-3.591079,51.530435,On or near WERNLYS ROAD,W01001041,Bridgend 013C,Investigation complete; no suspect identified
19e2dc77a762cd69438405641a7c70f5ea6ccf9f0136e318f1c8a9dc370a8735,2013-10,South Wales Police,South Wales Police,-3.584656,51.611523,On or near COMMERCIAL PLACE,W01001042,Bridgend 004D,Investigation complete; no suspect identified
13a48a018bced66a6aac54499c7f9d34a1db2144435af0af813246408ce386d6,2013-10,South Wales Police,South Wales Police,-3.202470,51.479862,On or near WELBY LANE,W01001713,Cardiff 040E,Investigation complete; no suspect identified
445cc432ec17023667dfc848a4106ba1db798dca571708180ae98395aa164e14,2013-10,South Wales Police,South Wales Police,-3.951465,51.629377,On or near GRANOGWEN ROAD,W01000864,Swansea 019C,Investigation complete; no suspect identified
5337d656183084cac0fd78e5084f7b48c2725ed7be5001f963f21b8313f275f9,2013-10,South Wales Police,South Wales Police,-3.947793,51.618863,On or near Shopping Area,W01001955,Swansea 025F,Investigation complete; no suspect identified
58a22ddbe88553948721f4a8157cc8fda4faaac62eba2c83b17ea1d8b1319848,2013-10,South Wales Police,South Wales Police,-3.958048,51.635265,On or near CARMARTHEN ROAD,W01000764,Swansea 015B,Investigation complete; no suspect identified
4d756741442a7d694046d21364dbef51bb815d54292d74582a40fe6c6a7c5c50,2013-10,South Wales Police,South Wales Police,-3.901287,51.654669,On or near CLARKE WAY,W01000794,Swansea 010A,Investigation complete; no suspect identified
0d5bda3ecbde391333d3befa2c6f3607bf875ef2be3b0f63aaebc0c86cfdae53,2013-10,South Wales Police,South Wales Police,-3.271320,51.540442,On or near HEOL-Y-NANT,W01001820,Cardiff 006A,Investigation complete; no suspect identified
c4d74d9212793065f9fdfb0c6a28f4468bae9ff5de7f04eba8292f0e89971d82,2013-10,South Wales Police,South Wales Police,-3.322671,51.595184,On or near A4054,W01001262,Rhondda Cynon Taf 022D,Investigation complete; no suspect identified
ca60700b56b3de8b1aef1b0bd1af0dbe77a8a9bd5edec3564b8f4ef52a22ca21,2013-10,South Wales Police,South Wales Police,-3.150056,51.475973,On or near Bus/Coach Station,W01001874,Cardiff 038D,Investigation complete; no suspect identified
0d087f10ef14f10471d6f9c36e886886d6a102d4b72c2064fd075627534f6e60,2013-10,South Wales Police,South Wales Police,-3.173339,51.483835,On or near WINDSOR PLACE,W01001939,Cardiff 032F,Investigation complete; no suspect identified
765f63317e3394f549987f9e8c28806faf34868a04fdad240dbb0c849a1bd36b,2013-10,South Wales Police,South Wales Police,-3.375481,51.533000,On or near Shopping Area,W01001243,Rhondda Cynon Taf 030E,Investigation complete; no suspect identified
